Chapter,Summary,Sentiment,Top Keywords,,,
1," In 110 years, no British cyclist had ever won the Tour de France cycling race . British Cycling won 60 percent of the gold medals at the 2008 Olympic Games in Beijing . Dave Brailsford and his team have found 1 percent improvements in every aspect of cycling .",0.091455547,"['habits', 'goal', 'goals', 'results', 'day']",,,
2," There are three layers of behavior change: outcomes, processes, or identity-based habits . Identity is about what you believe and what you want to achieve, rather than what you are trying to achieve . With outcome-based change, the focus should be on goals and outcomes, not goals . Identity-based changes are useful in many ways, but the problem is the direction of change .",0.168643696,"['identity', 'habits', 'change', 'person', 'type']",,,
3, Edward Thorndike conducted an experiment that laid the foundation for our understanding of how habits form and the rules that guide our behavior . The process of habit formation begins with trial and error . It also provides answers to some fundamental questions like: What are your habits? And why does the brain bother building them?,0.079502033,"['craving', 'habits', 'habit', 'reward', 'cue']",,,
4, The human brain is a prediction machine. It is continuously taking in your surrounding surroundings and analyzing the information it comes across . Paramedics and military analysts can identify which blip on radar screen is an enemy missile and which one is a plane from their own fleet .,0.108764058,"['habits', 'habit', 'bad', 'behavior', 'like']",,,
5," Researchers in Great Britain have found that people who make a specific plan for when and where they will perform a new habit are more likely to follow through . Implementation intentions are effective for sticking to our goals, whether it’s writing down the exact time and date of when you will get a flu shot .",0.119614339,"['habit', 'time', 'new', 'habits', 'behavior']",,,
6," A physician at Massachusetts General Hospital in Boston, Massachusetts, altered the environment of the cafeteria . Environment is the invisible hand that shapes human behavior, Kurt Lewin wrote a simple equation . Motivation is overrated; Environment often matters more than willpower or motivation .",0.125886453,"['environment', 'cues', 'habits', 'habit', 'room']",,,
7," In 1971, two congressmen made a shocking discovery that 15 percent of U.S. soldiers stationed in Vietnam were heroin addicts . When soldiers returned home, only 5 percent of them became readdicted within a year, and 12 percent relapsed within three years . This finding contradicted the prevailing view that addiction was irreversible .",0.025045863,"['habit', 'make', 'bad', 'habits', 'law']",,,
8," Dutch scientist Niko Tinbergen won a Nobel Prize for his work . He discovered that gulls pecked at red spots on their beak when they wanted food . The bigger the red spot on the beak, the faster the bird pecks at the spot, he discovered . The same behavior occurs in other animals, such as the greylag goose pulling a ball back into its nest .",0.184623242,"['dopamine', 'habit', 'want', 'attractive', 'brain']",,,
9," The Polgar sisters grew up in a culture that prioritized chess above all else . Susan, Sofia, Judit Polgar were the number-one-ranked female grandmaster in the world . Susan was the youngest player ever listed among the top one hundred-thousand-player chess players . Judit became the youngest grandmaster of all time at age of 27 years .",0.214960487,"['habits', 'behavior', 'chess', 'group', 'people']",,,
10," Allen Carr’s Easy Way to Stop Smoking is an inversion of the 2nd Law of Behavior Change: make it unattractive . The author systematically reframes each cue associated with smoking and gives it a new meaning . Smoking does not relieve your nerves, it destroys them, he says .",0.103069972,"['habits', 'make', 'habit', 'law', 'smoking']",,,
11," A professor at the University of Florida divided his film photography students into two groups . The quality group was graded only on the excellence of their work . But the quality group had little to show other than unverified theories and one mediocre photo . When you're in motion, you're planning and strategizing and learning, but those things don’t produce a result .",0.180165237,"['habit', 'motion', 'behavior', 'action', 'automatic']",,,
12," Different continents have different shapes . Agriculture spread two to three times faster across Europe and Asia than it did elsewhere . The behavior of farmers was constrained by the amount of friction in the environment . The spread of agriculture provides an example of the 3rd Law of Behavior, Jared Diamond says .",0.124383335,"['friction', 'easy', 'habit', 'environment', 'habits']",,,
13," Twyla Tharp credits much of her success to simple daily habits . Tharp: ""I begin each day of my life with a ritual"" Tharp hails a taxi to the Pumping Iron gym in New York City each morning to get to the gym .",0.137658105,"['minutes', 'habit', 'minute', 'phase', 'day']",,,
14," Victor Hugo wrote The Hunchback of Notre Dame two weeks early on January 14, 1831 . Psychologists say a commitment device is a choice you make in the present that controls your actions in the future . It is a way to lock in future behavior, bind you to good habits and restrict you from bad ones .",0.092830275,"['habits', 'make', 'behavior', 'good', 'bad']",,,
15," Public health worker Stephen Luby traveled to Pakistan in the late 1990s to promote handwashing . Luby and his team partnered with Procter & Gamble to supply a neighborhood with Safeguard soap . The soap foamed easily and people were able to lather their hands with suds, Luby says .",0.165555348,"['immediate', 'habit', 'behavior', 'make', 'rewards']",,,
16," A Canadian stockbroker began each morning with two jars on his desk filled with paper clips . He would move one paper clip from the full jar to the empty jar and the process would begin again . By eighteen months, Trent Dyrsmid was bringing in $5 million to the firm. By age twenty-24, he was making $75,000 per year .",0.142402734,"['habit', 'tracking', 'progress', 'measure', 'track']",,,
17," Roger Fisher’s proposal is an inversion of the 4th Law: Make it immediately unsatisfying . The more immediate and more costly a mistake is, the faster you will learn from it . We repeat bad habits because they serve us in some way, and that makes them hard to abandon .",0.05331845,"['habit', 'habits', 'behavior', 'contract', 'make']",,,
18," Michael Phelps has won more Olympic medals than any swimmer and more than any Olympian in any sport . Hicham El Guerrouj is a Moroccan runner who holds two Olympic gold medals and is one of the greatest middle-distance runners of all time . Phelps has relatively short legs for his height and a very very long torso, the perfect build for swimming .",0.205968768,"['people', 'genes', 'habits', 'work', 'habit']",,,
19, Comedian Steve Martin rose to fame after nearly 15 years of hard work . Martin's story offers a fascinating perspective on what it takes to stick with your habits for the long run . Scientists have been studying this question for decades . The Goldilocks Rule: How do we design habits that pull us in rather than fade away?,0.166893337,"['just', 'like', 'way', 'people', 'work']",,,
20," The downside of habits is that you get used to doing things a certain way and stop paying attention to little errors . When you can do it “good enough” on autopilot, you stop thinking about how to do it better . The less energy you spend on trivial choices, the more you can spend it on what really matters .",0.145436083,"['habits', '10', 'com', 'habit', 'https']",,,
